//X Y Z Rf Gf Bf Intensity
7817
-0.37780401 -0.52977598 11.33580017 0.521569 0.584314 0.576471 15.000000
-5.69108009 0.11221900 10.22850037 0.439216 0.403922 0.337255 15.000000
-1.63103998 -1.88857996 12.33990002 0.27451 0.384314 0.521569 15.000000
-2.82375002 1.21923995 10.28660011 0.14902 0.231373 0.329412 15.000000
-2.61557007 -0.61434400 10.62600040 0.537255 0.537255 0.537255 15.000000
-2.22014999 2.06375003 9.24744034 0.164706 0.239216 0.294118 15.000000
-1.19867003 0.14594300 11.03240013 0.556863 0.54902 0.513725 15.000000
-5.14842987 1.00931001 10.15509987 0.47451 0.494118 0.513725 15.000000
-5.52240992 -0.78574097 8.87094975 0.4 0.368627 0.329412 15.000000
-5.72755003 -0.03201840 10.26049995 0.337255 0.27451 0.27451 15.000000
-4.05672979 -2.17988992 12.11890030 0.294118 0.321569 0.4 15.000000
1.46443999 -0.00900110 10.01690006 0.337255 0.301961 0.301961 15.000000
-2.73389006 -0.26464900 10.50389957 0.603922 0.568627 0.494118 15.000000
-3.37491989 -0.15318300 10.39130020 0.576471 0.584314 0.537255 15.000000
0.67291600 1.57806003 9.56367016 0.337255 0.34902 0.34902 15.000000
0.08583660 -1.91041994 12.47480011 0.466667 0.439216 0.537255 15.000000
-5.68253994 -0.99062300 9.25656033 0.176471 0.258824 0.329412 15.000000
-5.59429979 0.38642901 8.89381981 0.431373 0.431373 0.47451 15.000000
-3.12466002 0.54262102 10.28310013 0.427451 0.419608 0.419608 15.000000
-1.20254004 1.81608999 10.69359970 0.27451 0.282353 0.27451 15.000000
-6.22929001 0.69911098 8.50759983 0.584314 0.576471 0.54902 15.000000
1.29322004 -0.96020901 10.18980026 0.556863 0.537255 0.466667 15.000000
-2.45648003 -0.10776200 10.54129982 0.576471 0.564706 0.509804 15.000000
1.53374004 -0.29388499 10.09029961 0.486275 0.439216 0.384314 15.000000
-2.66064000 2.05303001 9.00817013 0.156863 0.247059 0.286275 15.000000
-2.18832994 -1.65409994 12.01669979 0.466667 0.494118 0.603922 15.000000
-5.80137014 0.50979000 8.62905025 0.309804 0.337255 0.368627 15.000000
-0.54116398 0.82376802 11.01369953 0.501961 0.458824 0.368627 15.000000
1.43935001 0.44671699 9.92967033 0.501961 0.466667 0.403922 15.000000
-3.87393999 -0.28806999 10.63039970 0.529412 0.486275 0.419608 15.000000
-6.09182978 -0.11907700 8.70648003 0.603922 0.611765 0.627451 15.000000
-5.82799006 0.12657399 8.70121956 0.411765 0.411765 0.403922 15.000000
-1.33543003 0.47690001 10.94839954 0.337255 0.294118 0.286275 15.000000
-2.91411996 -2.23988008 12.03260040 0.258824 0.286275 0.313725 15.000000
-1.98629999 -0.30718100 10.97850037 0.47451 0.419608 0.384314 15.000000
1.10521996 -2.17594004 11.12650013 0.156863 0.254902 0.239216 15.000000
-0.63787699 0.63643402 11.02989960 0.486275 0.501961 0.47451 15.000000
-1.20679998 0.25521001 11.00959969 0.34902 0.329412 0.301961 15.000000
-5.64136982 1.01142001 10.05309963 0.364706 0.384314 0.403922 15.000000
-6.44552994 0.29326299 8.52435017 0.501961 0.556863 0.564706 15.000000
-2.85249996 -0.83692402 10.66520023 0.294118 0.419608 0.631373 15.000000
-3.11360002 -0.51934201 10.41730022 0.568627 0.564706 0.494118 15.000000
-1.24748003 1.08229995 10.83049965 0.337255 0.286275 0.294118 15.000000
-4.22802019 1.19224000 10.27690029 0.47451 0.509804 0.521569 15.000000
-2.70395994 1.22249997 10.30790043 0.176471 0.258824 0.364706 15.000000
-0.63027298 -1.12925005 11.86419964 0.176471 0.239216 0.337255 15.000000
1.47478998 1.33142996 9.74512005 0.309804 0.266667 0.27451 15.000000
0.13656101 -1.61576998 12.42430019 0.282353 0.301961 0.376471 15.000000
-6.13383007 -1.09421003 8.89169979 0.6 0.658824 0.666667 15.000000
0.85924202 1.16542995 9.68192005 0.282353 0.286275 0.258824 15.000000
-3.63703990 -2.38637996 11.92510033 0.254902 0.239216 0.313725 15.000000
-2.49900007 -0.03712110 10.52970028 0.486275 0.439216 0.376471 15.000000
-2.69670010 2.05123997 9.00037956 0.164706 0.239216 0.286275 15.000000
1.38132000 -0.72678798 10.16110039 0.227451 0.294118 0.392157 15.000000
-4.64659977 -0.27976599 10.49709988 0.403922 0.439216 0.466667 15.000000
-2.47786999 1.18805003 10.26630020 0.466667 0.482353 0.454902 15.000000
1.10396004 0.90410399 9.77762985 0.501961 0.466667 0.392157 15.000000
-3.08527994 -3.11555004 12.43319988 0.921569 0.956863 0.964706 15.000000
-2.61486006 -0.66795200 10.63430023 0.529412 0.529412 0.501961 15.000000
1.34851003 1.85072005 9.61225986 0.4 0.403922 0.419608 15.000000
1.34264004 -1.68429995 10.83310032 0.27451 0.376471 0.454902 15.000000
-0.72828698 2.02566004 10.70199966 0.341176 0.356863 0.392157 15.000000
0.01417530 2.10104990 10.82499981 0.337255 0.364706 0.427451 15.000000
-4.62242985 2.04655004 9.79617023 0.301961 0.364706 0.447059 15.000000
-6.01676989 0.96658701 8.49473000 0.231373 0.239216 0.211765 15.000000
-6.61882019 -0.31993699 8.64898014 0.568627 0.592157 0.603922 15.000000
-2.79768991 -1.09035003 10.67549992 0.54902 0.54902 0.513725 15.000000
-6.53966999 0.48069301 8.46325970 0.584314 0.576471 0.509804 15.000000
0.39454001 -0.97306198 10.61670017 0.47451 0.521569 0.584314 15.000000
-3.63506007 -2.24883008 11.89150047 0.294118 0.294118 0.356863 15.000000
-5.94494009 0.45146200 8.72187996 0.329412 0.301961 0.258824 15.000000
0.13425800 -1.76480997 12.44379997 0.27451 0.27451 0.321569 15.000000
0.77991498 0.31687799 9.84029007 0.447059 0.337255 0.337255 15.000000
-4.11624002 -0.49388701 10.55410004 0.482353 0.486275 0.431373 15.000000
1.36212003 -0.99936998 10.20279980 0.494118 0.466667 0.411765 15.000000
0.95830399 -0.23504700 9.96057034 0.509804 0.486275 0.447059 15.000000
-5.62748003 0.04185290 10.25899982 0.627451 0.631373 0.592157 15.000000
-2.56168008 -0.51734900 10.52550030 0.564706 0.521569 0.447059 15.000000
0.13167000 -0.17746501 11.32089996 0.231373 0.231373 0.254902 15.000000
1.62249994 0.98751700 9.85328007 0.321569 0.266667 0.254902 15.000000
-2.14166999 0.05104030 10.56379986 0.611765 0.611765 0.584314 15.000000
-0.19526200 1.19235003 11.00730038 0.219608 0.231373 0.211765 15.000000
0.72777301 -1.32518995 10.45489979 0.494118 0.47451 0.67451 15.000000
-7.11346006 -0.90407902 8.63866997 0.521569 0.564706 0.592157 15.000000
-4.46187019 -2.19130993 12.05399990 0.231373 0.294118 0.403922 15.000000
-5.60121012 0.27441001 10.24320030 0.337255 0.368627 0.384314 15.000000
-1.36573005 1.22590995 10.77770042 0.376471 0.364706 0.368627 15.000000
-6.52673006 -0.43636501 8.65997982 0.54902 0.564706 0.54902 15.000000
1.78761005 -0.61214000 10.10379982 0.54902 0.537255 0.494118 15.000000
-5.72854996 1.28868997 8.46683979 0.403922 0.364706 0.403922 15.000000
-3.09691000 -0.71688902 10.56970024 0.384314 0.376471 0.392157 15.000000
-3.40994000 -0.59246099 10.35789967 0.337255 0.403922 0.513725 15.000000
0.00347157 -0.47544199 11.37740040 0.0823529 0.184314 0.254902 15.000000
-1.28783000 0.22830001 10.99549961 0.466667 0.403922 0.392157 15.000000
-6.88569021 0.31677499 8.42893028 0.556863 0.521569 0.521569 15.000000
-6.57485008 0.29903001 8.49687958 0.34902 0.34902 0.376471 15.000000
-4.73778009 -0.28297201 10.45580006 0.403922 0.376471 0.392157 15.000000
1.17290998 -1.26873004 10.20450020 0.501961 0.509804 0.454902 15.000000
-5.48677015 2.03086996 8.31120968 0.164706 0.247059 0.239216 15.000000
0.20563699 -0.43136200 10.96819973 0.458824 0.458824 0.411765 15.000000
-1.20826995 0.40981299 10.97910023 0.34902 0.329412 0.309804 15.000000
1.36898994 0.35064599 9.91528988 0.537255 0.541176 0.494118 15.000000
-5.75332022 -0.03138060 8.74687958 0.431373 0.356863 0.356863 15.000000
-4.04232979 -2.15065002 12.08979988 0.54902 0.584314 0.647059 15.000000
-6.97294998 -1.18376994 8.89480972 0.34902 0.486275 0.611765 15.000000
-5.44251013 2.12555003 9.89747047 0.0823529 0.137255 0.231373 15.000000
-4.76851988 -0.42196000 10.49940014 0.54902 0.521569 0.458824 15.000000
-0.66694498 0.23519000 11.10389996 0.537255 0.54902 0.521569 15.000000
-5.57385015 -0.28340900 10.28050041 0.529412 0.537255 0.466667 15.000000
-6.03799009 1.64093006 8.34743023 0.556863 0.584314 0.576471 15.000000
1.75154996 1.48965001 9.77632046 0.301961 0.254902 0.239216 15.000000
-4.76855993 -0.42228901 10.50150013 0.556863 0.568627 0.54902 15.000000
-4.04232979 -2.15065002 12.08979988 0.54902 0.584314 0.647059 15.000000
-6.03212023 -0.49439400 8.78643990 0.337255 0.329412 0.309804 15.000000
1.36193001 -0.83993202 10.17739964 0.564706 0.568627 0.556863 15.000000
-4.22722006 -0.73528999 10.78190041 0.356863 0.4 0.494118 15.000000
-3.37834001 0.08652240 10.34340000 0.564706 0.556863 0.521569 15.000000
-2.57329988 -0.53033602 10.50269985 0.603922 0.564706 0.466667 15.000000
-6.61800003 0.29879001 8.50030041 0.356863 0.364706 0.376471 15.000000
-3.63641000 -2.04573989 11.85260010 0.294118 0.301961 0.392157 15.000000
-1.28978002 -2.09719992 12.59959984 0.258824 0.301961 0.403922 15.000000
0.93282098 -1.11932003 10.25730038 1 1 0.792157 15.000000
-5.19218016 -0.20762999 10.39050007 0.494118 0.486275 0.419608 15.000000
-0.16674900 -0.82480901 11.44439983 0.509804 0.494118 0.466667 15.000000
1.05735004 0.52018499 9.79938984 0.47451 0.482353 0.447059 15.000000
0.48608899 1.51382995 9.51058006 0.482353 0.521569 0.556863 15.000000
1.20106006 -1.87965000 10.93649960 0.403922 0.509804 0.541176 15.000000
-0.73381901 2.39049006 10.62110043 0.219608 0.254902 0.337255 15.000000
-3.47912002 0.64821500 10.23659992 0.47451 0.486275 0.419608 15.000000
1.14989996 1.16111004 9.78431034 0.00784314 0.113725 0.0431373 15.000000
-6.23127985 0.92003602 8.49567032 0.34902 0.427451 0.486275 15.000000
-1.14261997 -0.40836799 11.06330013 0.509804 0.482353 0.403922 15.000000
-4.91665983 -0.29096201 10.41479969 0.509804 0.513725 0.537255 15.000000
-2.90998006 1.67133999 10.18089962 0.266667 0.247059 0.247059 15.000000
1.54446995 0.80417401 9.87524986 0.329412 0.266667 0.231373 15.000000
1.69587004 -0.97978997 10.40139961 0.447059 0.509804 0.501961 15.000000
-6.48222017 1.54545999 8.24225044 0.611765 0.603922 0.556863 15.000000
-4.22802019 1.51933002 10.21319962 0.431373 0.466667 0.486275 15.000000
1.64928997 0.03277070 10.04730034 0.482353 0.486275 0.486275 15.000000
1.24394000 -1.86808002 10.94629955 0.266667 0.329412 0.411765 15.000000
-0.22436699 -0.91824502 11.46809959 0.584314 0.619608 0.556863 15.000000
-6.60271978 0.62570798 8.45676041 0.321569 0.301961 0.356863 15.000000
-6.31147003 -0.68314600 8.75979042 0.482353 0.411765 0.364706 15.000000
-5.86907005 0.85685599 8.54205990 0.611765 0.631373 0.603922 15.000000
-6.59980011 1.47107995 8.27947044 0.631373 0.627451 0.576471 15.000000
1.76387000 0.82275701 9.90758038 0.309804 0.258824 0.231373 15.000000
-2.85210991 -1.07284999 10.67169952 0.501961 0.458824 0.392157 15.000000
-3.00373006 0.52332997 10.31540012 0.447059 0.427451 0.431373 15.000000
-4.71999979 -1.03614998 10.63319969 0.403922 0.411765 0.447059 15.000000
-5.05130005 1.41650999 10.09080029 0.231373 0.231373 0.239216 15.000000
-3.29942012 0.91049999 10.16559982 0.537255 0.564706 0.564706 15.000000
-1.72002995 -2.04375005 12.46790028 0.164706 0.266667 0.384314 15.000000
-3.17818999 -2.43348002 12.27400017 0.964706 1 1 15.000000
0.57634997 0.66788298 9.72745991 0.564706 0.541176 0.47451 15.000000
-2.91996002 -1.22878003 10.68330002 0.356863 0.329412 0.313725 15.000000
-5.84328985 0.72977102 8.57433987 0.447059 0.376471 0.392157 15.000000
-6.63527012 1.51083004 8.26290989 0.376471 0.321569 0.301961 15.000000
1.22419000 -1.84130001 10.92580032 0.4 0.501961 0.486275 15.000000
-3.24722004 0.66223401 10.11489964 0.247059 0.239216 0.203922 15.000000
1.78831005 0.70335501 9.92712975 0.482353 0.47451 0.384314 15.000000
-0.34009701 -1.52911997 12.26710033 0.466667 0.556863 0.647059 15.000000
-5.56857014 0.69264197 10.15779972 0.439216 0.411765 0.364706 15.000000
-6.02257013 -1.64857996 11.35190010 0.486275 0.556863 0.631373 15.000000
-3.21496010 1.50679004 10.04609966 0.356863 0.34902 0.364706 15.000000
-6.01276016 1.39368999 8.40604019 0.247059 0.211765 0.184314 15.000000
0.93466902 0.70696801 9.71551037 0.513725 0.537255 0.521569 15.000000
-5.76871014 0.51487303 10.13879967 0.239216 0.227451 0.211765 15.000000
-0.01995780 0.68886900 11.12040043 0.176471 0.219608 0.258824 15.000000
-0.47224399 0.53922701 11.08409977 0.301961 0.266667 0.231373 15.000000
-4.39554024 1.46645999 10.20009995 0.14902 0.192157 0.164706 15.000000
-1.96730995 0.94351101 10.69909954 0.54902 0.556863 0.509804 15.000000
-4.42257977 -1.21926999 11.18999958 0.337255 0.411765 0.537255 15.000000
-5.69688988 1.09484994 9.32993984 0.376471 0.321569 0.313725 15.000000
-6.21336985 -0.95287102 8.82901955 0.313725 0.447059 0.654902 15.000000
-6.04259014 -1.94479001 11.40040016 0.258824 0.282353 0.392157 15.000000
-6.64467001 -0.14650200 8.60727024 0.301961 0.309804 0.364706 15.000000
-6.44492006 -2.42732000 9.82427979 0.431373 0.529412 0.647059 15.000000
1.52170002 -0.48294100 10.12549973 0.454902 0.376471 0.321569 15.000000
-4.68333006 0.05016560 10.52040005 0.247059 0.337255 0.494118 15.000000
0.75082397 1.37393999 9.61721039 0.411765 0.384314 0.321569 15.000000
-5.87290001 0.31141201 8.59243011 0.447059 0.458824 0.482353 15.000000
-4.40913010 -0.29181400 10.54769993 0.282353 0.286275 0.294118 15.000000
-5.68317986 1.55098999 9.94544983 0.403922 0.454902 0.494118 15.000000
-3.24405003 0.69057101 10.14770031 0.392157 0.34902 0.337255 15.000000
-3.72207999 -1.33190000 11.32269955 0.109804 0.176471 0.211765 15.000000
1.47116005 1.65506995 9.67173958 0.231373 0.219608 0.219608 15.000000
-4.54866982 -0.89222801 10.65200043 0.431373 0.392157 0.34902 15.000000
-2.23146009 -1.65377998 12.00170040 0.494118 0.54902 0.647059 15.000000
-6.61221981 -0.34694800 8.65168953 0.34902 0.34902 0.458824 15.000000
-2.73834991 -1.27592003 10.70240021 0.337255 0.34902 0.337255 15.000000
0.43079200 -0.25709099 10.02639961 0.964706 0.956863 0.858824 15.000000
-1.98469996 -1.15742004 11.60999966 0.411765 0.466667 0.584314 15.000000
-5.46711016 -0.22481900 10.31989956 0.356863 0.384314 0.411765 15.000000
1.74457002 -0.19139600 10.09780025 0.541176 0.537255 0.47451 15.000000
-1.91356003 -0.36431101 11.00059986 0.521569 0.447059 0.337255 15.000000
-2.51763010 -0.57849997 10.52999973 0.411765 0.47451 0.576471 15.000000
-1.99039996 -1.12299001 11.56499958 0.156863 0.219608 0.321569 15.000000
1.61265004 1.25301003 9.74407959 0.329412 0.313725 0.258824 15.000000
-3.63265991 -2.56850004 11.93109989 0.521569 0.529412 0.556863 15.000000
-5.75052023 -0.72810501 8.87246990 0.592157 0.564706 0.537255 15.000000
-2.93848991 -1.00240004 10.64420033 0.454902 0.431373 0.447059 15.000000
0.95604199 0.22399600 9.89081955 0.54902 0.537255 0.486275 15.000000
-2.37555003 -0.30263200 10.59440041 0.564706 0.564706 0.521569 15.000000
-0.10938800 0.88430899 11.04220009 0.454902 0.466667 0.509804 15.000000
-6.22157001 1.15582001 8.45668030 0.0784314 0.121569 0.156863 15.000000
-1.91243005 0.21206699 10.87440014 0.529412 0.529412 0.513725 15.000000
-0.55585802 -1.11802995 11.84350014 0.0784314 0.192157 0.211765 15.000000
0.96657598 0.74454302 9.73536015 0.564706 0.556863 0.509804 15.000000
-0.55585802 -1.11802995 11.84350014 0.0784314 0.192157 0.211765 15.000000
-6.89108992 -0.33402300 8.59702969 0.521569 0.592157 0.537255 15.000000
0.67588401 0.49931601 9.72735023 0.254902 0.294118 0.301961 15.000000
-3.12407994 -0.32233399 10.45839977 0.564706 0.576471 0.556863 15.000000
-5.54206991 0.35623801 8.91084003 0.439216 0.341176 0.4 15.000000
-2.91443992 -0.98564202 10.65180016 0.576471 0.576471 0.564706 15.000000
-3.52067995 0.89188099 10.11610031 0.564706 0.564706 0.537255 15.000000
-2.59032011 -0.99421299 10.70390034 0.384314 0.364706 0.337255 15.000000
-1.48100996 0.96726799 10.77519989 0.47451 0.458824 0.419608 15.000000
-6.52061987 -1.92723000 11.17580032 0.564706 0.592157 0.584314 15.000000
1.36119998 -0.87178898 10.18739986 0.556863 0.564706 0.54902 15.000000
-1.48346996 -0.82594800 11.19439983 0.537255 0.529412 0.501961 15.000000
-2.28302002 -0.37051299 10.62139988 0.556863 0.564706 0.466667 15.000000
2.00496006 -0.65446901 10.15270042 0.776471 0.976471 0.937255 15.000000
-0.15517700 -0.04160810 11.23690033 0.337255 0.329412 0.34902 15.000000
1.47478998 0.99082297 9.80782032 0.337255 0.258824 0.254902 15.000000
-6.22249985 -0.13774100 8.71222019 0.266667 0.411765 0.584314 15.000000
-4.24424982 1.32776999 10.25070000 0.6 0.603922 0.611765 15.000000
-3.76348996 -0.59233803 10.71070004 0.156863 0.282353 0.431373 15.000000
-4.95378017 0.42078501 10.30169964 0.47451 0.466667 0.427451 15.000000
-2.46848989 -0.70226699 10.66989994 0.458824 0.458824 0.47451 15.000000
-2.95128989 -0.58308202 10.49779987 0.301961 0.4 0.454902 15.000000
-0.62215400 1.91858006 10.77149963 0.384314 0.384314 0.4 15.000000
-2.31369996 -0.60511601 10.68560028 0.521569 0.603922 0.756863 15.000000
0.66422600 0.45403001 9.75107956 0.631373 0.603922 0.568627 15.000000
-3.23618007 -0.40722001 10.46240044 0.556863 0.576471 0.556863 15.000000
0.69118798 0.63782197 9.75428963 0.513725 0.447059 0.411765 15.000000
-6.85390997 -2.11810994 12.23670006 0.431373 0.454902 0.654902 15.000000
-0.59765899 -0.00001299 11.16930008 0.356863 0.294118 0.309804 15.000000
-1.01210999 -0.35986501 11.09519958 0.564706 0.521569 0.439216 15.000000
-4.43874979 1.97650003 10.04179955 0.447059 0.458824 0.494118 15.000000
-2.58753991 -0.84612203 10.67889977 0.439216 0.419608 0.419608 15.000000
-0.97379398 2.11785007 10.62969971 0.164706 0.211765 0.27451 15.000000
-5.15114021 -0.31040001 10.42440033 0.27451 0.27451 0.282353 15.000000
0.84232903 1.61081004 9.59078026 0.466667 0.356863 0.294118 15.000000
-6.85606003 -0.06084910 8.55062008 0.337255 0.337255 0.34902 15.000000
-4.19013977 3.23975992 25.28479958 0.521569 0.439216 0.4 15.000000
-1.54005003 -0.18631101 11.05860043 0.439216 0.439216 0.431373 15.000000
-5.63353014 -1.05927002 10.48040009 0.521569 0.529412 0.482353 15.000000
-6.05023003 1.09568000 8.45728016 0.603922 0.592157 0.54902 15.000000
-6.05234003 -0.64858902 8.79638958 0.537255 0.54902 0.47451 15.000000
